a,b,c,d,e,f,g,h,i,
2,1,1.38388,1.44927,1.60921,2.00529,2.09287,2.09708,-0.3074,
2.048,1,1.40851,1.60715,1.79362,2.17665,2.45209,2.5442,0.759621,
2.096,1,1.43293,1.76685,1.95562,2.21224,2.49265,2.36712,1.44037,
2.144,1,1.45714,1.90301,2.05597,2.15114,2.25522,2.2836,2.01563,
2.192,1,1.48115,1.99608,2.08033,2.05982,2.09327,2.16216,2.2949,
2.24,1,1.50497,2.03516,2.04,1.98198,2.12054,1.93085,2.19349,
2.288,1,1.52862,2.01885,1.9631,1.92786,2.13879,1.81811,1.8592,
2.336,1,1.55209,1.95435,1.88149,1.89265,2.02423,1.71436,1.13625,
2.384,1,1.57539,1.85526,1.81924,1.87574,1.89742,1.64377,0.439904,
2.432,1,1.59854,1.73878,1.78628,1.88362,1.89397,1.63739,-0.0986086,
2.48,1,1.62153,1.62286,1.77843,1.91877,1.96233,1.61663,-0.391756,
2.528,1,1.64437,1.52364,1.78236,1.96886,1.9674,1.61842,-0.450596,
2.576,1,1.66707,1.45361,1.78275,2.00751,1.89235,1.66352,-0.485072,
2.624,1,1.68963,1.42059,1.76894,2.00727,1.8449,1.7122,-0.495131,
2.672,1,1.71206,1.42744,1.7389,1.95609,1.89121,1.73997,-0.606669,
2.72,1,1.73436,1.47244,1.69986,1.86664,1.95954,1.71836,-0.680091,
2.768,1,1.75653,1.55013,1.66585,1.77304,1.93034,1.67603,-0.747529,
2.816,1,1.77857,1.65252,1.65333,1.71698,1.78862,1.64574,-0.688782,
2.864,1,1.8005,1.77027,1.67648,1.73043,1.65851,1.55454,-0.657766,
2.912,1,1.82232,1.89386,1.74326,1.82323,1.6901,1.43973,-0.680937,
2.96,1,1.84402,2.01456,1.85334,1.98025,1.92328,1.56433,-0.615708,
3.008,2,1.86561,2.12515,1.99807,2.16827,2.25718,1.99627,0.484797,
3.056,2,1.88709,2.22036,2.1622,2.34842,2.53679,2.37233,0.595131,
3.104,2,1.90848,2.29704,2.32695,2.4889,2.66615,2.37949,0.758417,
3.152,2,1.92976,2.35404,2.47349,2.57325,2.65551,2.17222,0.858018,
3.2,2,1.95094,2.39202,2.58611,2.60219,2.58322,2.06393,0.893695,
3.248,2,1.97202,2.41301,2.65465,2.5897,2.52301,2.08035,1.00171,
3.296,2,1.99302,2.42005,2.67568,2.55571,2.49864,2.05535,1.1777,
3.344,2,2.01392,2.41664,2.65247,2.5187,2.48951,1.96001,1.30667,
3.392,2,2.03473,2.40643,2.59394,2.49043,2.46666,1.90343,1.44815,
3.44,2,2.05545,2.39281,2.51278,2.47417,2.4225,1.91375,1.55566,
3.488,2,2.07609,2.37867,2.42334,2.46603,2.37342,1.90888,1.59974,
3.536,2,2.09664,2.36623,2.3394,2.45845,2.34079,1.85328,1.66581,
